,0,1,2,3,4,5,6,7,8,9
0,0.05459501863745067,0.03143763481338132,0.029101599031758685,0.03120496932660129,0.6612844162932312,0.03261964888196393,0.03450501109910688,0.0385535143932513,0.04154740373298211,0.04515078379027256
1,0.08393460591654024,0.03211702745080075,0.029322256015477912,0.030915328779639352,0.2293692707062973,0.03208389931451278,0.03286577520136304,0.03508468898447069,0.04029368294814745,0.040275120789672575
2,0.0388285372692904,0.03245208038456177,0.03048701387286975,0.03343211776942405,0.6298643173345803,0.03692998403674546,0.04079067798212651,0.04869361095998242,0.04849857902798073,0.06002308136243865
3,0.0604177553372236,0.0279388997092905,0.025707352101998468,0.027278953485351774,0.698007044401117,0.02804731032347689,0.029139498547269636,0.03171526125782775,0.03519858392672146,0.03654934090972271
4,0.03228859000876743,0.017631514604317534,0.01628863606899026,0.01741974778638742,0.8099123355256465,0.01819428576383905,0.01914828064604221,0.021236211684897796,0.023106634074325862,0.024773763836785888
6,0.04554080885966613,0.029606142718096203,0.027581764343149313,0.029741074901080918,0.6793589963765488,0.03131549891456485,0.033569726383404525,0.038254445533137706,0.039955204734639434,0.04507633723571223
7,0.10863867287198005,0.04362834469710368,0.03985805993061638,0.042105570624956595,0.4191413282433143,0.04386074745737341,0.04505358814165307,0.04828333516937099,0.05524937726914446,0.05558567653701265
8,4.70574705469889e-309,3.4673813166193377e-308,6.383251304783737e-308,1.0,7.805305914420753e-309,2.210292820698603e-308,1.3337450429872215e-308,9.49216694547799e-309,1.982797754617453e-308,1.470797878959419e-308
9,0.09435869675688137,0.03928252988203549,0.03604959436095265,0.038015544810474186,0.3437015313976281,0.03972737566371113,0.04087862876012548,0.043881392363433885,0.049440780718592335,0.05012445287934107
10,0.11277797726179006,0.045469483072374556,0.04155318954952251,0.04389467561839118,0.4403355177353239,0.04574068376551874,0.04699515966897459,0.05037758870045343,0.05757921338181118,0.0579743208502971
11,0.036327791620369636,0.02478771528010263,0.023344590862595157,0.0250847890387489,0.7279444787923236,0.02716061356024656,0.02932787243728653,0.03373587276304353,0.0335692646116609,0.03871701103362253
12,0.04370676894325595,0.02972153950176274,0.028163107556653414,0.029985669727281346,0.25734597771558654,0.03321707105304783,0.03562401607412419,0.04043530481978363,0.03969704662635284,0.04499470666233236
13,0.06484631952046471,0.030129862656738993,0.02763082222291599,0.029336230003670225,0.5509476715192084,0.030942251238858257,0.032071741307397615,0.034806739738125606,0.03912938420609338,0.040304944243682146
